ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
Percipio_07506bea-a153-40bf-a19e-df37f262d611,Nexus eimagine Case Study,Document,Online Content,1,en-us,,,"How Choosing Nexus Helped eimagine and their Client Provide Care to Over 100,000 Indiana Senior Citizens",Cloud,https://google.com
Percipio_07b698ee-5d4c-4de3-a192-9350659b6fc5,The Evolution of the Black Corporate Experience,Document,Online Content,0,en-us,5400,,"The future of work is here and it's inclusive, equitable, and diverse. We must consider how to create a company culture that ensures work is meaningful for ALL employees. Leaders must develop proactive and innovative solutions to help mitigate any discomfort or fear associated with doing the right - and sometimes the hard - thing. Ultimately, this will cultivate sustainable accountability and produce tangible business outcomes. The Evolution of the Black Corporate Experience is a webinar for employees, leaders, coaches, and HR professionals who are genuinely interested in attracting, developing, and retaining Black talent. This webinar offers transformative solutions to generate meaningful change. By the end of the webinar, you will: Discover practical solutions for attracting, developing, and retaining Black talent Explore strategies to lessen the emotional tax levied against Black employees Implement restorative practices in the workplace Understand the benefits of intrapreneurship and entrepreneurship in the Black corporate experience Join La'Wana Harris on as she provides practical solutions embracing and amplifying the evolving experience of the Black corporate workforce. Date and Time: Tues February 8 at 12- 1:30 PM ET",Communication,https://google.com
Percipio_088c9d24-ff47-4386-80a3-12987dec06d0,Content Strategy & Curation Journey,Document,Online Content,1,en-us,,,"The importance of content strategy and curation for a company cannot be overstated. From supporting the company's overall vision, to forming lasting impressions for customers through marketing, content strategy and creation can be one of the major pillars that ensure company success. Learn more about the role of Content Strategy & Curation within organizations.",Core,https://google.com
Percipio_09744293-7f9f-43b0-bd3d-c22407142cf9,Help Kids Fight Cyberbullying and Other Mean Online Behavior,Document,Online Content,1,en-us,,,Help kids learn how to dodge digital drama and stand up for others online. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Business Skills,https://google.com
Percipio_0bf7557f-1b0d-4355-938c-655214752dfc,PMP ATP - January Cohort: Live Session 2,Document,Online Content,0,en-us,28800,,Click here to register for the Live session on January18th at 10 AM Eastern.,Cybersecurity,https://google.com
Percipio_0cacf756-b3af-4d53-9222-ef07f4efa38c,Agile Project Management Bootcamp: Live Session 5,Document,Online Content,0,en-us,9000,,"Click here to enter the live session on February 19th at 11 AM ET. In this session Barabara Waters will discuss adaptive planning, problem detection, and continuous improvement.",Compliance,https://google.com
Percipio_0d8ebe0c-66e5-4e51-aadb-b3bc014f54dc,Innovation Mindset Journey,Document,Online Content,1,en-us,,,"In our ever-changing business world, the successful organization is the one that innovates successfully - survival depends on it. Innovation leadership plays a pivotal role by developing and supporting a culture that is open to a creative, innovative mindset. A culture of innovation creates incentives for employees and leads to an increase in the innovative strength of the company.",Coordinators,https://google.com
Percipio_0ef3bb6b-e76e-475c-8e9b-ca4986040909,PMP ATP -January/February/March UK and APAC Cohort: Live Session 6,Document,Online Content,0,en-us,14400,,Click here to register for the Live session on February 22th at 9 AM GMT/7 PM AEST.,Business Intelligence,https://google.com
Percipio_1179128d-7159-4e80-86fb-2057b9993d6e,Keeping Kids Motivated for Online Learning,Document,Online Content,1,en-us,,,Helpful tips and techniques to encourage and motivate your kids during virtual lessons in what promises to be a very unusual school year. Advice from Common Sense Media editors. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Virtual Teams,https://google.com
Percipio_125f95b1-64fc-4887-8e17-0673d382388d,How to Keep School Rhythm and Routines for Young Children at Home,Document,Online Content,1,en-us,,,"As schools shift to remote learning models for the foreseeable future, parents and caregivers are finding themselves in a new role—that of the school co-teacher. Though parents are naturally a part of their children’s ongoing education, co-teaching is a new role for many of them. This article is part of the guide Navigating Uncertain Times: How Schools Can Cope With Coronavirus. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Customer Service,https://google.com
Percipio_12bff9dd-25e2-4d26-b85c-ac059d3aea2b,Foundations. Activities for youth.,Document,Online Content,1,en-us,,,You can't get started without the basics! Read on for tips about what you can do to help protect your information and stay safe online. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Cal/OSHA Latin American Spanish,https://google.com
Percipio_13ab56c1-01df-4400-a9b1-f4dc22dc3787,PMP ATP - June/July Cohort: Live Session 6,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on July 12th at 1 PM Eastern.,Cybersecurity,https://google.com
Percipio_1454b810-88c7-443f-80bc-a41bee714263,How to be Successful in your Digital Transformation: Closing the Knowing-Doing Gap,Document,Online Content,0,en-us,5400,,"The Live Session has now ended. The recording will be available soon. In the meantime, we invite you to share your feedback by clicking Watch to launch the feedback survey. How can you solve for the most common areas of friction as it relates to Digital Transformation and accelerate transformation across the organization? Join us to learn, discuss, and collaborate on how to solve for the most common areas of friction as it relates to Digital Transformation and accelerate innovation in yourself, your teams, and your organization.",Cloud,https://google.com
Percipio_14971fe5-8d2d-49f4-bb22-cce18acce053,Chiffrer des messages électroniques,Document,Online Content,1,sv,,,"Lorsque vous devez protéger la confidentialité d'un courrier électronique, chiffrez-le. Le chiffrement d'un e-mail Outlook signifie qu'il est converti en texte clair lisible en texte ciphere. Veuillez noter que les supports de cours comprennent du contenu provenant de sites web externes susceptibles de se trouver en dehors du réseau de votre entreprise. Veuillez consulter les politiques d'utilisation et de sécurité de votre département informatique concernant les restrictions d'accès au contenu de sites web externes.",Data,https://google.com
Percipio_15414056-fd96-48c6-9d7c-32de608ebb44,Power BI Bootcamp: Live Session 2,Document,Online Content,0,en-us,10800,,Click here to enter the live session on July 20th at 11 AM ET.,Chemical,https://google.com
Percipio_15d5e800-3d37-4f43-a2b3-e5e1c9559f1f,PMP ATP - May/June/July UK and APAC Cohort: Live Session 7,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on July 6th at 9 AM BST/6 PM AEST.,Business Continuity Planning Bootcamps,https://google.com
Percipio_163f5db4-4017-4155-8441-95c6155f3420,Supporting Students With Learning Disabilities During School Closures,Document,Online Content,1,en-us,,,Experts from the California Collaborative for Educational Excellence offer recommendations for supporting students with learning disabilities through the coronavirus pandemic. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Cloud Development,https://google.com
Percipio_1734b121-e523-4cc4-abbc-f8f07c74483f,Leader of Leaders Journey,Document,Online Content,1,en-us,,,"When you become a leader of other leaders, you reach a critical moment that requires a different kind of leadership. You will likely guide people through disruption and change. This leadership journey strengthens your ability to think strategically and shape the culture of your organization. Leading leaders can be the greatest challenge of all. Learn how to support leaders and add value to your organization.",Cloud Basics,https://google.com
Percipio_18111585-3643-4e23-942d-fa24c2202696,Parent Tips and Tricks for Distance Learning,Document,Online Content,1,en-us,,,"Help parents and caregivers keep kids focused, interested, and balanced while learning from home. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Cloud Services,https://google.com
